compressor_diameter_mm,compressor_blade_count,combustor_length_mm,combustor_outer_diameter_mm,combustor_inner_diameter_mm,combustor_liner_thickness_mm,combustor_num_injectors,turbine_blade_count,turbine_hub_tip_ratio,nozzle_exit_diameter_mm,rpm,lattice_cell_size_mm,lattice_density,compressor_pressure_ratio,compressor_efficiency,turbine_inlet_temp_K,turbine_efficiency,mass_flow_kg_s,inlet_pressure_recovery,combustor_pressure_drop_fraction,combustion_efficiency,nozzle_discharge_coefficient,nozzle_isentropic_efficiency,combustor_air_fuel_ratio,feasible,thrust_error_N,tsfc_kg_N_s,thermal_efficiency,fuel_flow_kg_s,compressor_power_W,thrust_to_weight,thrust_N_corrected,exhaust_temp_K_corrected,exhaust_velocity_m_s_corrected,total_mass_kg
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.00010796,0.8499504384,1111.7946949899801,0.8652598791625672,0.2188482658354367,0.9820484574595262,0.031264546765634546,0.9674593104174869,0.97047951559374,0.9504530028128834,,True,1.2978831785787008,4.827170331483998e-05,0.10635335040479006,0.004776652057783512,16332.801124976098,8.051877728797319,98.7021168214213,959.1881764275878,441.5901147202751,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.00010796,0.8473936405062408,1146.859149444713,0.8527847396361419,0.2191306477115147,0.9780509268567583,0.03730096288392413,0.9673984114497569,0.9714265714858266,0.9528009119938969,,True,0.23470888351904762,5.0291928558782894e-05,0.10221006277555526,0.00503003789994301,16403.198033757693,8.141976124365653,99.76529111648095,992.5702288073608,445.37057526622107,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.00010796,0.8475577205700714,1150.6532000028928,0.8509772140627944,0.22163141508208528,0.9732664614601422,0.041099034160898565,0.9635986179484174,0.969588885860678,0.9446075901860189,,True,0.1688526254238525,5.0975677849211005e-05,0.10231790685554518,0.005066040534714589,16587.127821958013,8.140022051601537,99.83114737457615,998.734059362078,440.4171934516999,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.658566043931061,0.848578333185914,1000.8516428160235,0.8401582554259936,0.22369943199154568,0.9774426172981451,0.04712904846318117,0.9469675330606093,0.9700621801677266,0.9500750972669953,,True,0.0006671031395342197,3.8499665822880424e-05,0.1309466988791961,0.003859937611472037,24604.172670581094,8.101569638420024,100.00066710313953,817.6289512086444,439.06428819750704,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,4.563464842836119,0.8447795704530857,948.4262129698354,0.8790460414132708,0.20936137301936592,0.9834358971801084,0.04424689968489238,0.9494116822278083,0.9877863851233969,0.9497702493896037,,True,2.9889605579543286,2.6265293608152192e-05,0.20006506990016926,0.002718736098540188,38971.67672083468,8.220563101683911,102.98896055795433,683.1745282473007,485.7203455296199,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,4.563464842836119,0.8447795704530857,948.4262129698354,0.8790460414132708,0.20936137301936592,0.9834358971801084,0.04424689968489238,0.9494116822278083,0.9877863851233969,0.9497702493896037,,True,2.9889605579543286,2.6265293608152192e-05,0.20006506990016926,0.002718736098540188,38971.67672083468,8.220563101683911,102.98896055795433,683.1745282473007,485.7203455296199,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,4.880047568187164,0.8342873429019879,872.8608557289954,0.8777983794220092,0.23220281744385635,0.9772471209196361,0.044979195102691716,0.9691732174827813,0.9844318921441977,0.9286022677678079,,True,1.6510073810984096,2.2461583403814083e-05,0.1757527783245935,0.002124811453929923,46173.401068006795,7.685187206677074,98.34899261890159,624.622018203766,418.8162180497125,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,4.89339702162922,0.8320939157940179,873.8910339495785,0.8774460969285995,0.2404959128059598,0.97455802230923,0.03709117282265601,0.9797143845522087,0.9744798816840786,0.9318698512895024,,True,1.4224444824317999,2.2403542078600295e-05,0.17533683481264928,0.002172756773601292,48051.33161046342,7.905143752332596,101.4224444824318,623.6970306001424,417.10325832022477,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,4.89339702162922,0.8320939157940179,873.8910339495785,0.8774460969285995,0.2404959128059598,0.97455802230923,0.03709117282265601,0.9705326799618921,0.973525259991174,0.9318698512895024,,True,1.3285490036601004,2.2630794035177526e-05,0.17289866071838397,0.002189194837834091,48051.33161046342,7.898082712513744,101.3285490036601,623.6970306001424,416.71874375070877,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.731136521998692,0.8499358486036274,1021.629435965192,0.8539989921462173,0.20572155440566442,0.9764851163721144,0.04306388510784928,0.9651536539632649,0.9816696102852959,0.9421785041964337,,True,2.5581203470210028,3.767942570378476e-05,0.14126632137898068,0.0037289047260948543,23306.591978173547,7.907126088761263,97.441879652979,827.9753340619209,465.0028797992645,1.228910093710441
